pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,cluster_kmeans_k4,cluster_minibatch_k9
49,52,46,6,9,51,2,4
46,65,46,8,9,38,2,6
37,55,47,7,11,28,2,6
43,62,50,7,15,14,2,6
40,52,48,8,12,10,1,6
40,62,48,12,12,18,2,6
33,44,47,14,12,24,1,6
58,46,48,22,12,33,2,6
37,47,7,26,17,17,1,3
63,96,11,26,27,52,3,8
67,97,14,28,28,62,3,8
62,78,13,25,24,52,3,8
48,63,12,30,24,51,3,8
67,102,13,34,26,58,3,8
58,83,15,28,29,39,3,8
48,68,12,22,36,34,3,8
50,65,13,19,44,31,3,8
40,62,15,20,34,24,1,8
55,76,14,26,37,34,3,8
40,54,10,18,31,26,1,3
24,45,9,15,30,24,1,3
33,53,10,20,31,29,1,3
27,47,9,17,34,23,1,3
27,46,9,19,27,25,1,3
32,52,13,17,25,20,1,3
46,69,12,21,35,32,3,8
44,60,11,24,33,37,3,8
41,60,14,21,25,38,3,8
57,77,20,22,24,33,3,8
40,52,13,18,24,25,1,3
53,71,13,22,23,40,3,8
52,70,14,25,17,41,3,8
50,71,13,25,22,49,3,8
52,69,11,23,31,51,3,8
41,58,13,19,26,35,3,8
53,73,19,22,20,34,3,8
51,74,13,25,28,34,3,8
50,65,13,17,28,28,3,8
53,70,16,18,27,33,3,8
78,111,58,15,35,44,2,2
80,109,58,12,30,48,2,4
71,93,56,13,30,32,2,2
56,69,58,15,27,58,2,4
75,112,56,30,21,63,3,4
59,83,55,18,18,38,2,4
52,71,55,13,24,19,2,2
55,82,56,14,29,21,2,2
43,67,55,11,22,18,2,6
65,95,56,23,26,27,2,2
34,55,54,6,14,18,2,6
34,57,55,18,10,52,2,4
32,55,54,7,14,19,2,6
28,52,54,11,11,34,2,6
36,58,54,9,10,41,2,6
48,72,54,11,14,24,2,6
39,59,54,12,15,34,2,6
35,58,54,11,15,33,2,6
54,79,54,20,12,60,2,4
50,68,54,13,11,43,2,4
54,74,55,18,11,64,2,4
57,81,54,14,11,39,2,4
43,63,54,14,15,37,2,6
46,63,54,13,16,23,2,6
40,60,54,9,14,28,2,6
48,63,54,14,9,63,2,4
50,68,54,16,11,68,2,4
55,13,54,11,14,27,1,6
57,16,54,9,14,24,1,6
83,113,27,27,13,8,0,0
40,57,56,10,23,16,2,6
27,46,54,5,28,25,2,6
36,59,55,14,22,33,2,6
31,53,54,7,27,8,1,6
33,55,55,11,21,26,2,6
36,57,55,7,21,17,2,6
49,67,54,6,32,10,2,2
52,70,55,13,23,27,2,6
51,64,55,8,20,21,2,6
62,87,56,10,18,27,2,2
42,53,55,6,22,6,1,6
52,70,55,11,18,26,2,6
54,71,55,8,23,18,2,2
48,70,55,11,22,26,2,6
57,76,55,9,27,23,2,2
51,65,55,8,23,22,2,6
59,76,55,10,17,47,2,4
52,73,55,13,24,43,2,4
55,68,55,5,28,9,2,2
52,72,55,6,25,12,2,2
55,83,51,20,17,43,2,4
56,81,51,16,25,31,2,2
59,80,51,16,31,20,2,2
35,56,51,17,16,52,2,4
61,96,52,30,10,78,3,4
62,92,52,19,16,65,3,4
52,69,52,11,19,31,2,6
47,69,52,12,25,32,2,6
54,84,52,11,22,43,2,4
56,82,51,24,17,38,2,4
20,50,54,11,12,47,2,6
51,68,58,16,18,53,2,4
56,77,61,11,31,43,2,4
44,54,56,11,19,27,2,6
27,39,57,11,14,52,2,6
35,54,57,10,16,28,2,6
37,51,57,8,16,22,2,6
52,67,58,12,14,32,2,6
64,89,52,9,13,30,2,2
53,93,52,4,12,28,2,2
52,57,52,6,12,27,2,6
30,71,112,20,8,77,2,4
22,54,46,15,24,44,2,6
49,68,46,12,38,36,2,1
52,77,45,14,34,44,2,4
49,52,46,10,27,32,2,6
50,62,48,13,25,31,2,6
49,66,49,10,34,41,2,4
51,58,47,10,24,36,2,6
30,26,45,8,18,21,1,6
34,53,46,8,25,25,2,6
39,49,45,6,20,20,1,6
55,72,47,10,21,30,2,6
41,47,48,10,25,24,2,6
45,54,51,8,16,30,2,6
45,58,47,11,14,27,2,6
19,31,46,15,12,20,1,6
26,28,44,15,17,17,1,6
36,50,46,6,15,14,1,6
24,26,44,3,17,11,1,3
20,38,44,5,15,12,1,6
31,37,45,8,14,14,1,6
43,56,48,11,14,22,2,6
39,59,48,9,17,26,2,6
21,18,45,15,17,22,1,6
35,53,45,13,17,30,2,6
30,71,44,8,17,28,2,6
39,67,46,31,14,28,2,1
25,49,47,19,24,30,2,6
67,103,34,18,26,25,0,7
53,74,35,9,27,25,2,0
43,56,35,7,25,20,1,3
42,62,57,10,22,20,2,6
38,55,56,14,16,45,2,6
46,68,58,9,29,26,2,6
59,87,59,14,34,29,2,2
44,55,57,11,19,23,2,6
29,50,58,6,14,32,2,6
35,51,59,8,12,44,2,6
47,58,57,15,12,44,2,4
21,32,56,8,12,21,1,6
25,32,54,7,13,18,1,6
31,48,54,8,13,18,2,6
21,30,53,6,13,11,1,6
29,38,53,6,12,14,1,6
29,41,53,7,13,17,1,6
40,58,55,9,14,38,2,6
55,69,59,7,14,43,2,4
24,23,53,5,16,17,1,6
39,55,54,15,14,47,2,4
37,51,53,12,13,48,2,6
25,44,53,8,19,26,2,6
74,110,10,20,24,10,0,0
56,80,12,11,27,13,0,0
54,66,13,7,18,14,1,3
53,72,13,10,20,15,1,0
61,62,10,14,17,19,1,0
51,70,11,10,31,16,1,0
62,84,10,15,23,19,0,0
55,76,10,22,21,20,3,0
61,84,12,14,17,14,0,0
70,102,12,11,26,13,0,0
63,81,11,16,17,19,3,0
37,49,10,11,10,8,1,3
45,62,10,10,15,13,1,3
50,64,11,9,16,10,1,3
58,78,10,12,15,15,1,0
49,62,11,6,11,9,1,3
42,56,10,7,8,9,1,3
53,67,13,13,6,12,1,0
30,36,24,7,6,8,1,3
28,46,24,8,7,8,1,3
50,64,24,8,7,6,1,3
31,50,24,4,7,3,1,3
36,58,24,5,9,6,1,3
46,61,24,6,7,6,1,3
46,62,25,7,12,8,1,3
58,77,27,7,16,14,1,0
38,47,24,5,11,10,1,3
43,59,24,16,10,14,1,3
51,63,24,14,11,13,1,0
71,82,24,23,13,12,0,0
40,57,25,7,17,15,1,3
58,99,40,18,55,12,0,5
40,68,40,9,65,11,0,5
32,54,39,7,63,10,1,5
38,59,46,10,55,12,0,5
30,52,37,15,48,15,1,1
32,64,39,12,61,14,0,5
53,86,40,23,62,25,0,5
37,55,38,12,43,25,1,1
54,81,21,18,35,3,0,0
43,73,18,11,70,7,0,5
37,60,12,57,51,6,0,5
28,20,11,6,43,4,1,3
25,52,21,8,38,6,1,3
30,50,19,8,58,6,1,3
51,81,24,11,55,11,0,5
23,49,24,5,43,6,1,3
34,57,39,7,47,8,1,3
37,56,25,8,39,8,1,3
16,29,19,6,46,6,1,3
17,28,33,7,23,6,1,3
26,51,37,10,18,5,1,3
14,23,31,9,19,2,1,3
17,40,31,9,17,3,1,3
23,44,32,10,17,3,1,3
36,60,38,12,19,4,1,3
27,54,37,10,26,9,1,3
25,28,30,8,35,12,1,3
46,66,31,18,34,16,0,0
30,53,29,14,35,14,1,3
40,63,29,15,37,16,1,0
22,49,33,9,40,17,1,3
65,89,14,54,13,25,3,8
52,73,14,38,17,25,3,8
47,57,14,31,9,25,3,8
54,73,14,34,13,25,3,8
39,58,15,46,14,25,3,8
45,67,15,34,22,3,0,0
54,70,15,70,14,24,3,8
51,72,15,68,20,15,3,8
55,67,15,46,13,22,3,8
47,67,34,11,20,42,3,4
58,80,35,15,17,43,3,7
50,66,44,7,11,55,2,4
57,78,43,17,5,54,3,4
47,60,44,7,6,57,2,4
50,65,46,8,5,25,2,6
56,76,49,13,6,23,2,6
81,112,27,26,10,11,0,0
70,97,27,20,15,8,0,0
49,70,27,30,13,11,0,0
86,116,28,34,11,9,0,0
61,92,28,28,14,12,0,0
60,83,28,19,19,7,0,0
55,76,28,20,19,9,0,0
53,77,28,20,19,11,0,0
73,96,28,33,14,10,0,0
45,62,28,17,15,8,1,0
31,51,28,13,12,5,1,3
44,61,28,23,9,7,1,0
37,60,28,15,13,6,1,3
31,54,28,18,10,6,1,3
43,64,28,16,11,6,1,0
51,76,28,17,19,8,0,0
52,67,28,21,14,10,1,0
44,64,28,21,12,9,1,0
69,95,29,22,9,7,0,0
58,76,28,18,10,6,0,0
64,83,29,26,9,7,0,0
63,84,29,23,11,6,0,0
53,74,28,21,14,8,0,0
58,79,28,13,12,8,0,0
56,71,29,12,13,6,1,0
62,80,29,18,10,3,0,0
60,80,29,24,14,3,0,0
60,81,29,13,18,5,0,0
70,91,29,16,18,6,0,0
64,104,22,30,76,28,0,5
72,120,23,35,69,32,0,5
58,95,24,24,74,27,0,5
51,77,24,28,62,24,0,5
74,125,22,31,69,27,0,5
55,83,24,22,55,15,0,5
52,77,24,20,71,12,0,5
45,73,25,18,77,13,0,5
41,68,27,15,60,10,0,5
57,85,24,25,62,17,0,5
35,58,24,17,62,15,0,5
25,51,22,14,74,8,1,5
35,61,24,23,62,16,0,5
28,55,22,15,79,8,0,5
30,54,23,20,62,14,0,5
23,53,25,17,60,11,1,5
41,71,23,18,77,14,0,5
44,69,23,21,67,18,0,5
34,61,25,18,57,19,0,5
57,90,27,25,59,19,0,5
68,60,23,20,67,15,0,5
56,85,24,26,56,22,0,5
56,75,16,21,29,44,3,8
53,79,12,23,32,41,3,8
50,62,55,10,20,42,2,4
35,41,54,6,20,31,2,6
39,55,54,8,22,32,2,6
30,54,54,9,20,31,2,6
31,51,54,5,19,19,2,6
31,46,55,6,19,25,2,6
24,44,54,4,20,12,1,6
33,45,55,6,13,24,2,6
63,86,55,30,14,85,3,4
46,61,54,10,19,37,2,6
33,55,54,3,23,14,2,6
41,58,54,5,22,22,2,6
37,50,54,4,23,21,2,6
36,44,54,10,15,36,2,6
26,32,54,6,18,18,1,6
45,62,14,30,23,37,3,8
43,64,17,22,15,37,3,8
33,51,17,20,22,27,1,3
34,54,14,19,20,25,1,3
24,43,13,19,20,22,1,3
25,38,15,17,17,21,1,3
23,35,14,17,20,21,1,3
19,34,13,15,22,15,1,3
29,30,17,17,19,21,1,3
53,72,17,27,20,35,3,8
35,47,12,17,14,21,1,3
31,50,11,13,21,19,1,3
42,60,14,15,19,25,1,3
36,52,12,17,17,29,1,3
32,44,15,16,22,22,1,3
23,27,13,13,23,20,1,3
24,37,14,12,21,16,1,3
22,35,16,11,20,17,1,3
29,47,14,13,18,18,1,3
27,47,13,17,10,16,1,3
28,51,18,16,11,18,1,3
24,28,10,17,17,26,1,3
63,100,15,31,30,47,3,8
52,71,13,15,38,30,3,8
44,64,13,16,25,39,3,8
52,73,13,21,25,37,3,8
57,77,13,22,17,43,3,8
62,92,19,22,33,45,3,8
62,90,16,19,35,50,3,8
45,16,51,14,15,48,2,6
49,12,27,34,17,13,1,3
55,69,25,28,8,6,1,0
59,72,26,21,8,7,1,0
46,58,26,21,6,7,1,3
49,61,26,25,8,5,1,0
39,56,26,22,6,4,1,3
27,34,55,6,15,17,1,6
26,33,55,5,16,17,1,6
32,46,55,5,17,21,2,6
26,52,54,6,15,19,2,6
31,55,55,5,17,19,2,6
26,34,54,4,19,26,2,6
70,111,55,22,28,82,3,4
55,69,55,5,32,19,2,2
53,66,56,5,33,16,2,2
63,83,58,8,25,42,2,4
57,68,56,4,24,19,2,6
65,90,55,8,40,30,2,2
69,91,56,11,39,31,2,2
65,83,59,11,31,33,2,2
60,82,55,11,33,34,2,2
46,66,50,14,15,28,2,6
48,64,50,11,9,20,2,6
48,57,50,12,5,20,2,6
48,61,50,8,9,58,2,4
38,52,50,6,10,52,2,4
23,28,49,3,13,34,1,6
29,25,50,4,12,40,2,6
41,55,52,7,15,38,2,6
54,68,51,9,16,44,2,4
49,65,51,11,12,43,2,4
22,40,51,5,11,51,2,6
41,62,51,7,10,49,2,4
50,68,51,8,13,62,2,4
38,53,51,9,14,40,2,6
54,73,51,10,25,31,2,2
44,61,51,8,23,29,2,6
44,68,51,13,19,54,2,4
57,84,52,15,18,37,2,4
63,90,51,23,18,72,3,4
56,16,51,13,20,29,1,6
37,55,26,18,5,3,1,3
31,47,26,18,6,2,1,3
26,39,26,15,6,2,1,3
30,30,26,16,6,3,1,3
72,96,26,39,5,8,0,0
70,78,26,27,8,4,0,0
37,53,26,17,6,2,1,3
49,64,26,19,7,4,1,0
52,65,26,21,6,4,1,0
38,45,26,21,6,4,1,3
24,31,26,17,5,3,1,3
23,31,26,16,5,4,1,3
30,51,26,17,4,3,1,3
53,67,27,20,4,3,1,0
43,59,27,19,3,4,1,3
48,67,27,21,4,4,1,0
70,122,27,40,8,11,0,0
57,78,27,18,11,7,0,0
50,69,27,17,12,4,1,0
49,93,27,23,9,7,0,0
64,92,27,25,8,9,0,0
90,128,27,27,12,10,0,0
74,96,27,23,10,11,0,0
62,86,27,23,13,9,0,0
61,82,27,27,13,9,0,0
52,82,21,29,50,13,0,5
41,69,23,21,54,21,0,5
35,54,22,19,51,14,1,5
33,60,22,18,42,10,1,3
18,38,21,14,46,6,1,3
18,34,23,13,49,6,1,3
22,28,22,13,48,6,1,3
17,28,22,12,46,4,1,3
27,41,25,14,45,10,1,3
56,92,25,36,48,18,0,5
42,60,20,24,57,9,0,5
30,56,21,15,51,10,1,5
40,64,22,17,53,13,0,5
35,61,21,18,57,16,0,5
32,45,23,16,43,9,1,3
21,33,23,14,46,9,1,3
26,39,23,12,45,7,1,3
18,39,27,12,41,7,1,3
21,50,23,14,34,6,1,3
23,54,22,15,22,5,1,3
40,65,27,16,31,7,1,0
31,43,21,17,55,14,1,3
59,108,23,39,59,19,0,5
54,83,25,19,74,16,0,5
42,64,30,18,65,15,0,5
51,81,25,23,58,22,0,5
56,86,24,23,59,25,0,5
63,109,27,26,61,22,0,5
65,104,27,24,70,26,0,5
60,87,24,25,68,21,0,5
57,94,22,28,79,22,0,5
52,78,23,22,61,20,0,5
52,78,25,21,70,20,0,5
49,75,23,22,83,22,0,5
47,70,30,14,45,13,0,5
51,75,23,26,59,17,0,5
49,72,23,20,68,15,0,5
44,66,24,17,72,12,0,5
47,75,24,18,73,17,0,5
47,63,15,19,26,34,3,8
54,75,14,18,27,30,3,8
58,85,13,24,30,43,3,8
62,87,14,24,25,50,3,8
60,88,14,27,22,47,3,8
59,82,15,18,26,38,3,8
64,92,16,20,23,42,3,8
63,87,19,18,20,47,3,8
62,93,16,18,22,44,3,7
56,84,19,12,30,27,3,0
52,74,18,11,28,27,3,0
53,75,18,10,28,27,3,0
52,64,16,8,25,25,1,3
61,85,18,10,28,39,3,7
62,78,14,20,26,40,3,8
65,98,19,17,28,40,3,7
64,86,17,17,21,39,3,8
67,97,18,20,18,48,3,7
63,92,15,17,25,36,3,7
65,91,17,15,26,32,3,7
62,97,25,14,23,45,3,7
65,92,20,12,24,37,3,7
59,78,20,11,22,32,3,0
60,74,16,13,19,30,3,0
39,53,12,15,16,30,1,3
61,82,26,21,19,38,3,8
64,92,22,15,25,39,3,7
67,100,18,14,29,42,3,7
64,86,19,10,32,36,3,7
59,85,19,8,29,38,3,7
70,101,17,10,27,44,3,7
51,66,55,6,24,13,2,6
60,79,55,7,24,11,2,2
59,83,55,8,32,14,2,2
65,89,55,12,22,24,2,2
64,94,56,18,20,43,2,4
69,90,55,10,25,19,2,2
72,97,55,12,21,27,2,2
58,70,56,9,19,32,2,6
49,62,56,9,16,39,2,6
47,57,55,7,12,40,2,6
28,39,56,4,16,15,1,6
23,30,54,5,18,22,1,6
59,71,55,14,11,68,2,4
51,62,57,9,11,54,2,4
32,35,54,9,13,36,2,6
52,71,48,16,16,21,2,6
39,53,47,12,10,33,2,6
33,45,48,9,9,33,2,6
31,49,48,5,7,17,1,6
52,74,49,14,12,40,2,4
61,74,50,16,9,37,2,4
35,52,48,9,9,28,2,6
49,67,54,9,16,17,2,6
52,63,51,7,21,8,2,6
50,68,50,19,14,52,2,4
50,64,50,12,15,19,2,6
41,63,51,13,16,25,2,6
64,87,53,19,12,22,2,2
53,70,52,16,10,12,2,6
47,63,50,14,15,8,2,6
50,67,49,17,19,12,2,1
65,93,50,15,21,13,0,2
58,79,49,14,20,17,2,2
59,71,48,12,8,17,2,6
44,59,49,7,15,14,2,6
44,62,49,6,13,29,2,6
37,50,50,7,9,16,1,6
41,56,49,10,12,29,2,6
64,88,50,20,14,19,2,2
47,62,50,10,11,21,2,6
54,13,50,12,12,41,2,6
68,90,25,15,18,14,0,0
50,59,24,10,12,9,1,3
49,56,25,7,11,10,1,3
52,72,49,17,18,37,2,4
50,62,49,12,19,26,2,6
33,51,48,10,20,22,2,6
24,38,46,9,16,14,1,6
38,67,47,13,18,28,2,6
47,61,47,9,18,32,2,6
32,49,49,8,15,22,1,6
42,60,47,6,15,20,2,6
51,72,51,6,21,31,2,6
46,57,51,7,28,20,2,6
39,57,50,9,23,23,2,6
33,54,50,7,25,23,2,6
39,52,51,7,26,28,2,6
25,38,52,8,26,24,1,6
35,55,35,18,22,29,1,6
57,73,20,28,20,40,3,8
36,50,16,21,23,23,1,3
38,55,15,20,24,26,1,3
46,66,16,24,14,39,3,8
42,61,16,21,21,31,3,8
52,73,20,32,24,37,3,8
56,73,19,22,23,35,3,8
38,56,16,20,23,29,1,3
38,57,20,20,12,19,1,3
26,37,20,16,22,19,1,3
25,42,13,17,18,24,1,3
44,63,14,25,16,32,3,8
43,59,14,21,13,31,3,8
33,44,13,22,14,29,1,3
55,71,54,15,25,49,2,4
48,62,55,15,16,57,2,4
36,53,55,9,13,43,2,6
27,43,54,7,12,21,2,6
53,71,56,13,17,40,2,4
44,55,54,10,13,37,2,6
37,53,56,11,10,48,2,4
59,73,56,13,14,56,2,4
58,79,58,9,24,28,2,2
47,57,55,5,21,20,2,6
33,53,54,7,17,20,2,6
34,52,55,7,18,22,2,6
42,54,54,6,18,29,2,6
24,40,54,6,20,31,2,6
43,60,55,10,14,46,2,4
67,83,56,21,12,80,3,4
29,32,54,5,16,28,2,6
44,64,54,8,17,35,2,6
52,70,55,9,16,37,2,4
55,81,56,13,24,36,2,4
32,45,25,4,7,4,1,3
54,77,25,10,6,5,1,0
64,74,25,15,6,7,1,0
40,58,25,6,4,6,1,3
64,90,25,10,4,4,0,0
67,86,26,15,7,5,0,0
57,74,25,15,8,5,1,0
63,85,25,9,6,6,0,0
61,80,25,4,5,6,1,0
53,67,25,7,8,6,1,0
49,62,25,16,8,6,1,0
53,76,25,24,7,8,1,0
81,103,25,24,6,11,0,0
59,74,25,22,6,8,1,0
57,71,25,21,7,6,1,0
68,91,26,23,6,9,0,0
71,94,25,22,7,9,0,0
70,102,25,24,9,8,0,0
70,86,25,21,8,9,0,0
46,61,25,20,7,6,1,0
54,67,25,18,6,2,1,0
37,52,25,15,8,3,1,3
36,52,25,18,7,4,1,3
70,96,26,28,5,7,0,0
57,59,25,22,6,6,1,0
51,82,34,17,33,22,0,0
47,68,26,18,28,9,1,0
24,48,25,12,29,10,1,3
17,24,23,7,27,4,1,3
35,68,24,15,32,12,1,0
59,74,25,16,38,14,0,0
31,52,27,11,25,8,1,3
40,66,25,11,28,8,1,3
45,77,37,12,41,18,0,5
33,60,28,6,46,11,1,3
46,69,26,14,31,13,1,0
30,54,24,11,37,12,1,3
31,54,22,9,39,12,1,3
49,37,21,9,45,11,1,3
32,58,24,11,38,15,1,3
53,78,23,18,39,26,0,5
43,67,22,12,32,18,1,0
31,57,23,11,35,16,1,3
49,81,22,19,31,23,0,0
40,69,22,10,36,13,1,0
55,94,20,12,115,18,0,5
53,76,21,8,72,14,0,5
29,58,19,7,59,10,1,5
28,53,24,9,59,8,1,5
25,50,30,14,35,9,1,3
24,41,23,17,45,14,1,3
54,78,21,27,46,13,0,5
33,60,22,20,48,18,1,5
36,57,21,21,54,16,0,5
54,72,12,22,27,32,3,8
52,70,10,22,35,36,3,8
55,79,10,28,23,44,3,8
58,83,11,24,35,35,3,8
52,71,12,24,18,33,3,8
56,86,14,26,20,40,3,8
54,79,12,22,25,26,3,8
54,84,13,22,21,26,3,8
48,65,12,22,21,26,3,8
51,70,10,33,19,43,3,8
39,58,12,23,26,33,3,8
64,89,15,27,41,39,3,8
53,74,10,29,36,44,3,8
57,85,11,25,42,41,3,8
60,86,12,27,38,35,3,8
60,86,12,24,38,33,3,8
55,79,14,24,40,37,3,8
52,76,16,24,36,34,3,8
61,83,15,27,37,46,3,8
59,88,15,24,34,45,3,8
61,94,14,25,36,39,3,8
66,101,15,23,35,33,3,8
59,87,15,24,25,37,3,8
56,74,15,24,33,31,3,8
62,89,10,33,25,51,3,8
57,71,10,29,22,48,3,8
51,70,10,27,25,41,3,8
56,85,13,28,24,37,3,8
60,89,12,32,20,39,3,8
51,70,13,25,15,40,3,8
57,74,58,7,32,11,2,2
49,73,58,7,35,6,2,2
55,100,58,12,31,36,2,2
56,89,58,9,34,17,2,2
52,74,58,8,28,14,2,2
61,82,59,10,25,26,2,2
60,81,58,8,28,11,2,2
57,76,58,9,26,13,2,2
55,72,59,8,24,14,2,2
61,79,60,15,15,44,2,4
47,63,59,9,18,25,2,6
58,83,59,10,33,21,2,2
56,75,58,12,30,30,2,2
63,85,59,13,30,36,2,2
63,82,58,11,28,21,2,2
62,83,58,11,31,20,2,2
53,77,62,8,35,40,2,4
42,66,61,7,34,36,2,6
52,75,61,7,38,38,2,4
56,84,62,9,36,53,2,4
59,86,61,10,40,52,2,4
62,98,61,10,32,51,2,4
54,84,61,11,25,51,2,4
53,74,61,11,20,50,2,4
56,81,61,13,26,57,2,4
48,66,61,13,21,65,2,4
52,81,62,12,21,54,2,4
51,12,61,10,22,50,2,6
44,13,61,9,22,43,2,6
65,81,53,21,44,18,0,1
66,74,53,21,39,23,0,1
65,79,53,19,43,16,0,1
118,69,53,16,31,13,0,2
82,76,53,21,34,19,0,1
162,97,53,17,39,15,0,2
70,83,53,17,31,12,0,2
57,63,53,17,34,12,2,1
57,58,53,39,23,23,2,1
